id,name,department,salary,employmentType
201,Alice Brown,Finance,93505.65,2
202,John Doe,Marketing,46079.28,1
203,Alice Brown,Finance,45125.03,1
204,Michael Lee,Finance,47904.88,1
205,David Martinez,Marketing,97268.06,0
206,Jane Smith,HR,63855.7,1
207,Olivia White,Marketing,38530.84,2
208,Olivia White,Finance,99783.99,0
209,Bob Johnson,HR,57413.72,0
210,Emily Wilson,Finance,77125.9,0
211,John Doe,Sales,86795.25,0
212,Jane Smith,Engineering,85777.44,0
213,Michael Lee,HR,98384.47,2
214,John Doe,Finance,41933.15,1
215,Sophia Garcia,HR,45945.07,1
216,John Doe,Marketing,39421.74,1
217,Charlie Davis,Engineering,68520.02,2
218,David Martinez,Engineering,59515.33,0
219,Bob Johnson,Sales,37020.4,1
220,Emily Wilson,Marketing,65643.97,2
221,Michael Lee,HR,60190.14,0
222,David Martinez,Engineering,96306.48,0
223,Alice Brown,Engineering,94998.77,1
224,David Martinez,Sales,57635.84,2
225,Alice Brown,HR,84833.0,0
226,John Doe,Marketing,49958.62,0
227,Michael Lee,Engineering,43890.72,0
228,Michael Lee,Marketing,57309.65,1
229,John Doe,Engineering,78338.22,0
230,Olivia White,HR,51264.97,1
231,Olivia White,Marketing,68984.11,1
232,Jane Smith,Marketing,41711.12,0
233,Olivia White,HR,89651.35,2
234,Michael Lee,Sales,75276.53,0
235,John Doe,Marketing,47335.16,1
236,John Doe,Finance,71552.78,2
237,David Martinez,Finance,97854.04,0
238,David Martinez,Engineering,31776.61,0
239,Sophia Garcia,Finance,40267.39,0
240,Emily Wilson,HR,92979.55,2
241,Sophia Garcia,Finance,86792.91,0
242,Emily Wilson,Engineering,86380.06,2
243,John Doe,Finance,41377.27,1
244,Michael Lee,HR,86509.28,2
245,Bob Johnson,Finance,57339.04,1
246,Michael Lee,Finance,90244.27,1
247,Olivia White,Engineering,91801.05,0
248,Emily Wilson,HR,81287.52,2
249,Charlie Davis,Finance,46937.57,2
250,Charlie Davis,Marketing,82682.9,0
251,Jane Smith,Engineering,76117.58,2
252,Emily Wilson,Engineering,78411.07,1
253,Sophia Garcia,Sales,65966.58,0
254,Emily Wilson,Engineering,31601.0,2
255,Olivia White,Engineering,81581.15,2
256,Alice Brown,HR,73500.39,1
257,David Martinez,Sales,39320.63,2
258,Emily Wilson,Marketing,52958.75,1
259,Michael Lee,Marketing,76023.32,0
260,Jane Smith,Finance,63428.2,1
261,Jane Smith,Sales,55843.55,1
262,Charlie Davis,Sales,82290.0,1
263,Charlie Davis,Engineering,83837.05,1
264,Sophia Garcia,Sales,99765.26,1
265,Olivia White,Sales,74756.43,2
266,Michael Lee,Engineering,57576.36,1
267,Charlie Davis,Engineering,61045.89,2
268,John Doe,Finance,66053.4,2
269,Olivia White,Finance,96739.48,2
270,Jane Smith,Sales,99997.4,0
271,Alice Brown,Marketing,81932.14,1
272,Charlie Davis,Sales,54557.79,0
273,David Martinez,Engineering,73806.1,0
274,Olivia White,Sales,57013.59,2
275,Charlie Davis,Engineering,83161.33,2
276,Michael Lee,Finance,55436.15,2
277,Jane Smith,Engineering,59278.93,0
278,Jane Smith,Engineering,98980.12,0
279,Jane Smith,Finance,58073.15,2
280,Bob Johnson,HR,71116.4,1
281,Alice Brown,Engineering,81702.51,2
282,John Doe,Engineering,84963.33,0
283,David Martinez,HR,43401.99,2
284,Alice Brown,Finance,88312.26,2
285,David Martinez,Marketing,41257.96,1
286,David Martinez,Sales,38809.94,0
287,David Martinez,Sales,44517.39,1
288,Sophia Garcia,Finance,99049.31,2
289,Charlie Davis,Finance,53893.36,1
290,Michael Lee,Engineering,92700.74,2
291,Charlie Davis,Engineering,59206.55,2
292,Sophia Garcia,HR,36636.22,0
293,John Doe,Sales,53729.0,1
294,Michael Lee,Finance,61548.61,0
295,David Martinez,HR,65391.39,2
296,Sophia Garcia,HR,77160.09,1
297,David Martinez,Marketing,48559.34,1
298,John Doe,Sales,65362.8,2
299,Olivia White,Sales,93029.05,2
300,Jane Smith,Marketing,73240.29,1
301,Jane Smith,Engineering,69271.06,0
302,Michael Lee,HR,37424.99,1
303,Sophia Garcia,Finance,79558.57,2
304,Olivia White,Sales,62393.97,0
305,Sophia Garcia,Sales,49145.28,0
306,Sophia Garcia,Sales,81340.28,2
307,Emily Wilson,HR,59220.22,2
308,Sophia Garcia,Marketing,93290.5,0
309,Alice Brown,Marketing,45867.01,1
310,Olivia White,Sales,37837.97,0
311,Sophia Garcia,Marketing,96734.98,2
312,John Doe,HR,85480.95,2
313,Emily Wilson,Engineering,30712.29,1
314,Emily Wilson,Sales,33066.27,1
315,Sophia Garcia,Marketing,71536.68,2
316,Sophia Garcia,Marketing,69000.9,0
317,Alice Brown,Finance,52106.17,0
318,Michael Lee,Finance,36788.84,0
319,Bob Johnson,Marketing,60725.04,1
320,Jane Smith,HR,53632.28,0
321,Jane Smith,Sales,64523.49,0
322,Sophia Garcia,Sales,44325.67,2
323,Sophia Garcia,Finance,97732.05,0
324,Jane Smith,Finance,59696.29,2
325,Alice Brown,Marketing,37937.23,2
326,Bob Johnson,Marketing,69982.2,2
327,Emily Wilson,Marketing,89102.67,1
328,David Martinez,Sales,91890.27,0
329,Alice Brown,Marketing,43530.33,0
330,Olivia White,Engineering,92295.36,1
331,John Doe,Marketing,77106.57,2
332,Charlie Davis,Finance,98174.62,0
333,Bob Johnson,Marketing,61635.8,0
334,Alice Brown,Marketing,30913.8,1
335,Bob Johnson,HR,85343.81,1
336,Michael Lee,Engineering,80602.22,2
337,John Doe,HR,37599.62,0
338,Charlie Davis,Sales,45592.91,1
339,Jane Smith,Finance,85574.15,2
340,Olivia White,Finance,50222.4,1
341,John Doe,Finance,46286.12,2
342,Jane Smith,Engineering,41617.94,1
343,John Doe,Finance,32011.96,1
344,Sophia Garcia,Sales,54920.96,1
345,Sophia Garcia,Finance,70458.75,0
346,Jane Smith,Engineering,95895.38,0
347,Jane Smith,Marketing,65957.33,1
348,Olivia White,Engineering,39211.1,0
349,Olivia White,HR,77062.94,0
350,Charlie Davis,Finance,92052.19,2
351,Sophia Garcia,Marketing,59380.41,0
352,Bob Johnson,Engineering,74376.37,0
353,Bob Johnson,Sales,68403.54,2
354,Jane Smith,Marketing,37158.64,0
355,Sophia Garcia,Engineering,78570.92,0
356,Michael Lee,Marketing,73596.72,0
357,Alice Brown,HR,34827.69,1
358,Charlie Davis,Finance,31125.46,2
359,Sophia Garcia,Marketing,31418.78,2
360,Jane Smith,HR,74027.68,2
361,Bob Johnson,Finance,71410.52,1
362,Emily Wilson,Finance,74017.81,1
363,Sophia Garcia,HR,50954.58,2
364,Bob Johnson,Finance,36673.38,0
365,Olivia White,Sales,33339.58,0
366,John Doe,Engineering,75933.61,2
367,Charlie Davis,HR,51953.27,0
368,Bob Johnson,Marketing,40961.71,2
369,Jane Smith,Finance,95190.26,0
370,Sophia Garcia,Engineering,78766.04,2
371,David Martinez,Finance,86610.13,0
372,John Doe,Finance,51486.45,2
373,Bob Johnson,Finance,74889.62,0
374,Sophia Garcia,Engineering,51984.11,1
375,Jane Smith,Sales,73230.64,0
376,David Martinez,HR,57694.82,2
377,Sophia Garcia,Sales,67392.16,0
378,Charlie Davis,Sales,50484.23,2
379,Olivia White,Sales,32181.02,2
380,Sophia Garcia,HR,74267.33,0
381,John Doe,HR,83539.36,0
382,Charlie Davis,HR,68017.93,1
383,John Doe,Sales,79333.85,0
384,Jane Smith,Engineering,85000.89,0
385,Michael Lee,Sales,45520.62,1
386,John Doe,Marketing,68887.03,0
387,Michael Lee,Marketing,77985.73,0
388,David Martinez,Engineering,97449.58,0
389,Charlie Davis,Finance,36935.25,1
390,Olivia White,HR,31196.46,2
391,Alice Brown,Finance,77257.84,2
392,Emily Wilson,Finance,74969.87,2
393,Alice Brown,Finance,62200.09,2
394,Charlie Davis,Marketing,33843.38,2
395,David Martinez,Marketing,52558.86,0
396,Michael Lee,Finance,47673.27,0
397,Emily Wilson,Engineering,96065.28,2
398,Bob Johnson,Engineering,90512.5,2
399,John Doe,Marketing,62194.65,1
400,John Doe,HR,66372.05,2
401,David Martinez,Engineering,73462.75,2
402,Jane Smith,Finance,48934.48,0
403,Sophia Garcia,Sales,35725.62,1
404,Sophia Garcia,Finance,82496.85,0
405,David Martinez,Marketing,96286.49,2
406,Alice Brown,Marketing,43688.28,2
407,Sophia Garcia,Sales,30756.49,1
408,David Martinez,Finance,84860.14,1
409,Sophia Garcia,HR,91029.65,2
410,Charlie Davis,Finance,94311.52,1
411,Sophia Garcia,Finance,34064.26,2
412,Charlie Davis,Finance,35461.06,2
413,Alice Brown,Engineering,60039.35,0
414,Jane Smith,Finance,70954.68,2
415,Charlie Davis,Finance,90293.53,0
416,Olivia White,Sales,56194.86,0
417,Emily Wilson,Finance,66683.82,1
418,Jane Smith,Engineering,69841.23,0
419,Michael Lee,Engineering,60349.15,0
420,Jane Smith,Finance,32105.78,1
421,Emily Wilson,Marketing,98368.71,1
422,Bob Johnson,HR,90812.86,2
423,John Doe,HR,51554.95,0
424,Bob Johnson,Engineering,55015.9,2
425,Charlie Davis,Engineering,70991.73,1
426,Emily Wilson,HR,68544.73,2
427,Alice Brown,Finance,85566.99,2
428,Sophia Garcia,Marketing,47873.19,0
429,Jane Smith,Finance,97137.54,1
430,Charlie Davis,Finance,94018.22,2
431,Sophia Garcia,Marketing,57382.76,1
432,Jane Smith,Finance,71052.41,1
433,John Doe,Engineering,99895.56,1
434,Olivia White,Marketing,83157.01,2
435,Michael Lee,Sales,33292.77,0
436,Bob Johnson,Engineering,56938.5,2
437,John Doe,Finance,70438.87,1
438,Olivia White,Finance,74774.69,1
439,Alice Brown,Marketing,57258.26,1
440,Sophia Garcia,Sales,69097.08,1
441,John Doe,Marketing,77581.66,0
442,Sophia Garcia,HR,44716.79,2
443,Alice Brown,Engineering,67742.67,1
444,Michael Lee,Sales,32478.03,0
445,Emily Wilson,Marketing,94838.4,1
446,Michael Lee,Marketing,60796.72,1
447,Alice Brown,HR,34793.78,0
448,Bob Johnson,Sales,79246.69,2
449,Michael Lee,Marketing,71577.87,0
450,Michael Lee,Marketing,80625.05,2
451,Emily Wilson,HR,72386.89,2
452,Olivia White,Sales,81233.32,2
453,Alice Brown,Engineering,50261.7,1
454,Jane Smith,HR,98652.83,2
455,Bob Johnson,Engineering,41444.82,1
456,Jane Smith,Finance,79579.86,0
457,Michael Lee,Engineering,57772.14,1
458,Sophia Garcia,Marketing,98950.67,1
459,Bob Johnson,Finance,77198.79,2
460,Jane Smith,Engineering,87239.31,1
461,Jane Smith,Marketing,37227.47,0
462,Olivia White,Marketing,86203.25,0
463,David Martinez,HR,90353.38,0
464,Bob Johnson,Finance,74873.95,1
465,Sophia Garcia,HR,35350.9,1
466,Bob Johnson,Sales,84323.74,0
467,John Doe,Engineering,51235.02,0
468,Emily Wilson,HR,93965.77,0
469,Emily Wilson,HR,98763.78,0
470,Michael Lee,Sales,86998.53,1
471,Jane Smith,Finance,67359.31,1
472,John Doe,Engineering,87883.01,0
473,Sophia Garcia,Engineering,98066.27,2
474,Michael Lee,Sales,59726.9,2
475,David Martinez,Finance,31068.71,2
476,Emily Wilson,Marketing,72858.61,0
477,Bob Johnson,HR,81425.61,0
478,Bob Johnson,Engineering,81535.21,1
479,Michael Lee,Sales,63686.64,2
480,John Doe,HR,44701.5,0
481,Bob Johnson,Sales,40391.36,0
482,Jane Smith,Engineering,99051.25,2
483,Jane Smith,Engineering,75785.88,0
484,Bob Johnson,Finance,74176.39,0
485,Sophia Garcia,HR,33677.49,2
486,Alice Brown,Sales,30886.02,1
487,Emily Wilson,Finance,70600.05,1
488,John Doe,Finance,49104.6,2
489,John Doe,Engineering,91701.03,0
490,David Martinez,HR,63282.83,1
491,Alice Brown,Finance,93755.5,2
492,Sophia Garcia,Marketing,67718.84,2
493,Sophia Garcia,Marketing,41656.79,2
494,John Doe,Sales,84392.13,0
495,Olivia White,Marketing,82729.44,0
496,Michael Lee,Finance,68505.61,0
497,Michael Lee,Finance,33681.3,0
498,John Doe,Engineering,33172.34,0
499,Emily Wilson,Marketing,90363.64,1
500,Emily Wilson,Finance,76570.19,2
501,Bob Johnson,Marketing,38871.62,2
502,Bob Johnson,HR,80158.5,0
503,Jane Smith,Engineering,31724.75,2
504,Emily Wilson,Finance,85991.66,2
505,Michael Lee,Sales,75206.11,0
506,Bob Johnson,Marketing,83401.85,0
507,John Doe,Engineering,76065.14,2
508,Emily Wilson,Marketing,67610.05,1
509,Emily Wilson,Sales,85785.54,0
510,Sophia Garcia,Marketing,47262.0,2
511,Olivia White,Marketing,56291.58,2
512,John Doe,Finance,37017.48,1
513,David Martinez,HR,45108.66,0
514,Bob Johnson,HR,32557.97,2
515,Sophia Garcia,Marketing,89751.59,1
516,Jane Smith,Engineering,42214.17,1
517,Alice Brown,Finance,67197.96,0
518,Alice Brown,Engineering,52020.76,2
519,David Martinez,HR,82733.64,2
520,Bob Johnson,Sales,44548.98,2
521,Jane Smith,Engineering,39598.7,0
522,John Doe,Marketing,69251.39,1
523,David Martinez,Sales,93585.18,0
524,Alice Brown,Sales,92859.64,2
525,Sophia Garcia,HR,86790.58,2
526,Michael Lee,Sales,97326.75,0
527,David Martinez,Marketing,90107.61,1
528,David Martinez,Engineering,92170.04,0
529,Jane Smith,Engineering,54933.28,1
530,Alice Brown,Sales,41594.38,2
531,Alice Brown,Sales,87076.34,0
532,Emily Wilson,HR,48887.25,2
533,Emily Wilson,Marketing,66059.26,2
534,Sophia Garcia,Engineering,60374.43,0
535,Michael Lee,Sales,88418.86,0
536,Emily Wilson,Marketing,92264.91,2
537,Emily Wilson,Marketing,53165.24,1
538,Charlie Davis,Engineering,50157.84,1
539,Alice Brown,Engineering,88243.94,0
540,Olivia White,Sales,53345.31,1
541,Alice Brown,HR,35176.57,1
542,Olivia White,Marketing,70702.77,2
543,John Doe,Sales,32508.58,0
544,John Doe,Sales,80384.83,0
545,Olivia White,HR,35544.57,2
546,Emily Wilson,HR,78759.2,2
547,Emily Wilson,HR,96629.91,0
548,Emily Wilson,Sales,78338.5,2
549,Jane Smith,HR,82029.18,1
550,John Doe,Marketing,80899.7,1
551,David Martinez,Sales,82000.86,0
552,Michael Lee,Marketing,48877.29,0
553,Sophia Garcia,Marketing,37701.37,0
554,Michael Lee,Marketing,77031.27,1
555,Charlie Davis,Engineering,78806.52,1
556,Charlie Davis,Finance,50107.79,0
557,Olivia White,Finance,66402.19,2
558,Olivia White,Marketing,66585.58,0
559,Jane Smith,Marketing,62329.82,0
560,Alice Brown,Finance,40001.61,2
561,Bob Johnson,Engineering,95013.97,1
562,Sophia Garcia,Sales,63851.17,1
563,Charlie Davis,HR,79725.93,1
564,Olivia White,HR,38515.41,0
565,Bob Johnson,Marketing,65799.42,1
566,Olivia White,Engineering,35774.33,0
567,Michael Lee,Engineering,58231.95,2
568,Emily Wilson,Engineering,86456.26,2
569,Bob Johnson,HR,51379.53,0
570,Jane Smith,Finance,48602.05,0
571,Sophia Garcia,Sales,80087.23,2
572,Olivia White,Marketing,79537.65,1
573,David Martinez,Marketing,45200.68,2
574,Michael Lee,Engineering,79967.82,2
575,David Martinez,Engineering,66325.56,1
576,Emily Wilson,Finance,49952.96,1
577,Jane Smith,Sales,42994.18,2
578,Jane Smith,Marketing,84219.12,2
579,David Martinez,Finance,50561.45,2
580,David Martinez,Marketing,33089.16,0
581,Bob Johnson,Sales,50369.87,1
582,Michael Lee,Engineering,81167.6,1
583,Bob Johnson,Finance,88203.36,2
584,Alice Brown,Engineering,46126.86,0
585,Charlie Davis,HR,83286.88,2
586,Jane Smith,Marketing,84430.29,1
587,Emily Wilson,Engineering,74878.76,0
588,Bob Johnson,Sales,82378.69,2
589,Jane Smith,Engineering,88481.32,2
590,David Martinez,Sales,62190.52,0
591,Michael Lee,Finance,83157.49,0
592,Alice Brown,Finance,42854.6,0
593,Bob Johnson,Sales,75098.84,2
594,Sophia Garcia,Marketing,94644.5,0
595,Olivia White,Engineering,70134.61,1
596,David Martinez,Marketing,35610.76,1
597,Emily Wilson,HR,50956.47,2
598,Michael Lee,Sales,92810.99,1
599,Alice Brown,Sales,64119.13,0
600,John Doe,Finance,78818.52,1
601,Jane Smith,Sales,92147.77,0
602,Charlie Davis,Finance,80762.63,0
603,Emily Wilson,HR,87272.61,2
604,Jane Smith,Engineering,99284.91,0
605,Jane Smith,Finance,63125.9,2
606,John Doe,Marketing,78946.76,1
607,Olivia White,Engineering,31843.46,2
608,Charlie Davis,Sales,30630.02,2
609,Emily Wilson,Marketing,70451.77,0
610,Jane Smith,Marketing,33015.35,1
611,David Martinez,Marketing,75842.86,1
612,Alice Brown,Finance,78844.04,1
613,Michael Lee,Sales,59000.84,2
614,John Doe,Engineering,75097.23,0
615,Olivia White,HR,53486.28,0
616,Sophia Garcia,Finance,58209.32,0
617,Jane Smith,Sales,99732.28,2
618,Alice Brown,Engineering,37896.36,2
619,Emily Wilson,Sales,39080.48,1
620,Emily Wilson,Marketing,34008.85,0
621,John Doe,HR,58717.23,1
622,Charlie Davis,HR,92880.91,2
623,Michael Lee,Marketing,42314.59,2
624,Olivia White,Finance,37250.01,2
625,Jane Smith,Engineering,89753.92,1
626,Alice Brown,Sales,35571.34,1
627,David Martinez,Engineering,55059.43,1
628,Jane Smith,Finance,61072.12,2
629,Sophia Garcia,Finance,80986.91,0
630,Charlie Davis,Marketing,91607.03,1
631,Alice Brown,Sales,63973.58,1
632,David Martinez,Marketing,34907.5,0
633,Olivia White,Finance,68980.21,1
634,Bob Johnson,Sales,34060.68,2
635,John Doe,Marketing,97365.45,1
636,Emily Wilson,Finance,55126.54,0
637,Sophia Garcia,Engineering,39517.33,0
638,Olivia White,Finance,73108.04,2
639,Jane Smith,Engineering,87842.16,0
640,Sophia Garcia,Finance,33668.92,0
641,Alice Brown,Sales,34356.33,2
642,Emily Wilson,Engineering,49721.15,1
643,Bob Johnson,Finance,31237.77,0
644,Olivia White,Marketing,36425.63,0
645,Alice Brown,Engineering,52552.32,1
646,Emily Wilson,Sales,74550.04,1
647,Emily Wilson,Engineering,65845.66,0
648,Charlie Davis,HR,31750.22,1
649,Emily Wilson,Finance,41840.36,2
650,Olivia White,Marketing,69628.77,2
651,Olivia White,Engineering,77323.15,2
652,Michael Lee,Marketing,98131.06,1
653,John Doe,Finance,32623.36,1
654,Michael Lee,Sales,70700.1,0
655,Bob Johnson,HR,34312.23,1
656,Emily Wilson,Marketing,71775.33,0
657,Sophia Garcia,HR,67222.49,1
658,Jane Smith,Engineering,80483.38,0
659,Olivia White,HR,76890.76,0
660,Olivia White,Finance,68887.6,2
661,Bob Johnson,Sales,49031.33,2
662,Bob Johnson,Marketing,89881.21,0
663,David Martinez,HR,82183.36,0
664,Olivia White,Finance,57792.15,1
665,David Martinez,Finance,46108.92,2
666,Alice Brown,HR,55742.13,2
667,Sophia Garcia,Sales,98724.55,1
668,David Martinez,Marketing,49163.09,0
669,Alice Brown,Engineering,96794.43,2
670,Emily Wilson,Sales,75902.65,0
671,Emily Wilson,HR,76769.62,2
672,Michael Lee,Engineering,68496.32,1
673,Jane Smith,Engineering,99563.83,1
674,Alice Brown,HR,89613.93,0
675,John Doe,Marketing,34240.76,0
676,Emily Wilson,Engineering,70456.37,1
677,Alice Brown,Finance,63774.11,2
678,John Doe,HR,52897.91,0
679,Bob Johnson,Sales,68962.99,2
680,Sophia Garcia,HR,89106.83,0
681,Michael Lee,Engineering,96392.0,0
682,Sophia Garcia,HR,82721.32,0
683,Emily Wilson,Finance,89643.14,1
684,Jane Smith,HR,42250.28,2
685,Olivia White,HR,40291.41,0
686,David Martinez,Sales,32301.4,2
